FisNo,Fisinx,cbpg,tanim,ParaCinsi,EvrakNo,Tutar,Banka,Sube,Vade,MuhKod,KurFarkiMuhKod,MM,KurFarkiMM,StpjOran,KDVOran,StpjMuhKod,KDVMuhKod,_FKDVTop,_FOTVTop,_FFatTop,locked,Tanim2,KurFarkiDvz,BABSCODE,ExtraField1,ExtraField2,ExtraField3,TevKod,TevOran,TevMuhKod
7962,8466,320.056,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8467,320.102,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7962,8468,320.140,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
7963,8469,320.121,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
7963,8470,320.120,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
7963,8471,320.108,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7963,8472,320.114,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7963,8473,320.080,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7963,8474,320.130,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
7963,8475,320.036,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7963,8476,320.087,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7963,8477,320.072,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7963,8478,320.122,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
7963,8479,320.033,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
7963,8480,320.133,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
7963,8481,320.069,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7963,8482,320.064,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7963,8483,320.135,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7963,8484,320.098,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7964,8485,320.119,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7964,8486,320.101,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7964,8487,320.103,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7964,8488,320.124,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
7964,8489,320.139,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7964,8490,320.074,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7964,8491,320.049,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7964,8492,YS-001,Mağaza Tahsilatı,US,,3100.0,,,,,,,,,,,,,,,,,,,,,,,,
7964,8493,YS- 002,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7964,8494,YS- 003,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
7965,8495,120.001,Beştau Kargodan alındı.,US,,31100.0,,,,,,,,,,,,,,,,,,,,,,,,
7966,8496,120.090,Mağaza Tahsilatı,US,,1025.0,,,,,,,,,,,,,,,,,,,,,,,,
7967,8497,120.087,Korona Pay ile alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7968,8498,120.184 ,Korona Pay ile alındı.,US,,650.0,,,,,,,,,,,,,,,,,,,,,,,,
7969,8499,120.095,Aksaray Otelden alındı.,US,,490.0,,,,,,,,,,,,,,,,,,,,,,,,
7970,8500,120.061,Medya Otelden alındı.,US,,1032.0,,,,,,,,,,,,,,,,,,,,,,,,
7971,8501,120.054,Korona Pay ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7972,8502,120.124,Kapalıçarşı Gümüşçüden alındı.,US,,2440.0,,,,,,,,,,,,,,,,,,,,,,,,
7973,8503,120.064,Mağaza Tahsilatı,US,,985.0,,,,,,,,,,,,,,,,Sayara,,,,,,,,
7974,8504,120.049,Sky Tour Kargodan alındı.,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7975,8505,120.130,006 8160 iptal bedeli.,US,,240.0,,,,,,,,,,,,,,,,,,,,,,,,
7976,8506,120.138,KZ 999 kargodan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7977,8507,120.159,Zamir Kargodan alındı.,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7978,8508,120.180,Mağaza Tahsilatı,US,,396.0,,,,,,,,,,,,,,,,Sayara,,,,,,,,
7979,8509,120.173,Mağaza Tahsilatı,US,,370.0,,,,,,,,,,,,,,,,Sayara,,,,,,,,
7980,8510,120.177,Medya Otelden alındı.,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
7981,8511,120.060,Medya Otelden alındı.,US,,3300.0,,,,,,,,,,,,,,,,,,,,,,,,
7982,8512,120.077,Seul Grouptan alındı.,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
7983,8513,120.037,TAHSİLAT MAGAZA IRA,US,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
7984,8514,120.037,TAHSİLAT MAGAZA KARINA,US,,137.0,,,,,,,,,,,,,,,,,,,,,,,,
7985,8515,120.193,Kwikpay ile alındı.,US,,280.0,,,,,,,,,,,,,,,,,,,,,,,,
7986,8516,120.161,ES21 kargodan alındı.,US,,664.0,,,,,,,,,,,,,,,,,,,,,,,,
7987,8517,120.040,Alsu Trans Kargodan alındı.,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7988,8518,120.071,Fazla Ödeme İadesi,US,,344.0,,,,,,,,,,,,,,,,Rena Mağazadan aldı.,,,,,,,,
7989,8519,120.152,TAHSİLAT MAGAZA DİLFUZA,US,,1738.0,,,,,,,,,,,,,,,,,,,,,,,,
7990,8520,120.162,Dila Kuyumculuktan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7991,8521,120.088,Antik Iness kargodan alındı.,US,,416.0,,,,,,,,,,,,,,,,,,,,,,,,
7992,8522,120.178,Aksaray Otelden alındı.,US,,694.0,,,,,,,,,,,,,,,,,,,,,,,,
7993,8523,120.055,Vico Venzi Tekstilden alındı.,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
7994,8524,120.039,Medya Otelden alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
7995,8525,120.062,Medya Otelden alındı.,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
7996,8526,120.135,Antik kargodan alındı.,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
7997,8527,120.147,İdeal Kargodan alındı.,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7998,8528,120.054,Korona Pay ile alındı.,US,,740.0,,,,,,,,,,,,,,,,,,,,,,,,
7999,8529,120.013,Korona Pay ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8000,8530,120.033,Toni kargodan alındı.,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
8001,8531,120.010,Korona Pay ile alındı.,US,,1900.0,,,,,,,,,,,,,,,,,,,,,,,,
8002,8532,120.115,Korona Pay ile alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8004,8534,120.002,UKI Kutu masrafı karşılığı,US,,621.0,,,,,,,,,,,,,,,,,,,,,,,,
8005,8535,120.184 ,2 adet çuval Kargo Masrafı,US,,20.0,,,,,,,,,,,,,,,,,,,,,,,,
8006,8536,120.152,Kargo Masrafı,US,,30.0,,,,,,,,,,,,,,,,,,,,,,,,
8007,8537,320.081,Mağaza Tahsilatı,US,,900.0,,,,,,,,,,,,,,,,,,,,,,,,
8007,8538,YS-001,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8007,8539,YS- 002,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8007,8540,320.043,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8007,8541,320.091,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8007,8542,320.026,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8007,8543,320.056,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8007,8544,320.007,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8007,8545,320.071,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8007,8546,320.088,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8007,8547,320.014,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8007,8548,320.001,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8007,8549,320.082,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8007,8550,320.107,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8007,8551,320.067,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8007,8552,320.132,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8007,8553,320.134,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8007,8554,320.051,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8007,8555,320.074,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8007,8556,320.052,Mağaza Tahsilatı,US,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8557,320.020,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8558,320.104,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8559,320.047,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8560,320.063,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8561,320.015,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8562,320.100,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8563,320.059,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8564,320.023,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8565,320.076,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8566,320.115,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8567,320.005,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8568,320.093,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8569,320.033,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8570,320.041,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8571,320.097,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8572,320.116,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8573,320.049,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8574,320.102,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8575,320.120,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8576,320.061,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8577,320.004,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8578,320.030,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8579,320.066,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8580,320.036,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8581,320.130,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8582,320.062,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8583,320.078,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8584,320.096,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8585,320.114,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8586,320.105,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8587,320.064,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8588,320.045,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8589,320.108,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8590,320.141,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8591,320.086,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8592,320.133,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8593,320.084,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8594,320.042,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8595,320.054,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8597,320.087,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8598,320.119,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8599,320.057,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8600,320.003,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8601,320.039,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8602,320.085,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8603,320.013,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8604,TKNK- 002,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8607,320.121,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8608,320.046,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8008,8609,320.140,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
8009,8596,120.078,TAHSİLAT MAGAZA RUSLAN,US,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
8010,8605,120.192,Medya otelden alındı.,US,,460.0,,,,,,,,,,,,,,,,,,,,,,,,
8011,8606,120.177,Medya otelden alındı.,US,,820.0,,,,,,,,,,,,,,,,,,,,,,,,
8012,8610,120.198,Korona Pay ile ödeme alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8013,8611,120.021,TT kargodan alındı.,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8014,8612,120.096,Sibiria kargodan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8015,8613,120.126,İcon ayakkabıdan alındı.,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8016,8614,120.037,TAHSİLAT MAGAZA BAHAR ,US,,30.0,,,,,,,,,,,,,,,,,,,,,,,,
8018,8616,320.137,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8019,8617,120.166,VEP kargodan alındı.,US,,1100.0,,,,,,,,,,,,,,,,,,,,,,,,
8020,8618,120.098,UPT ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8021,8619,120.031,Zeri Golddan alındı.,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
8022,8620,120.124,Rızzanodan alındı.,US,,2092.0,,,,,,,,,,,,,,,,,,,,,,,,
8023,8621,120.199,Deniz kargodan alındı.,US,,1975.0,,,,,,,,,,,,,,,,,,,,,,,,
8024,8622,120.128,Kargo 34 den alındı.,US,,1256.0,,,,,,,,,,,,,,,,,,,,,,,,
8025,8623,120.119,Sirius kargodan alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8026,8624,120.079,Alberto Trendden alındı.,US,,496.0,,,,,,,,,,,,,,,,,,,,,,,,
8027,8625,120.122,TAHSİLAT MAGAZA SAYARA,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8028,8626,120.184 ,Korona Pay ile alındı.,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8029,8627,120.172,Dila Kuyumculukta alındı.,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
8030,8628,120.043,Bengzo Baldini den alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8031,8629,120.053,012 GM937 kalite 1 çift iade,US,,51.0,,,,,,,,,,,,,,,,,,,,,,,,
8032,8630,320.012,053 belge 012 GM937 kalite 1 çift iade,US,,48.0,,,,,,,,,,,,,,,,,,,,,,,,
8033,8631,120.042,099 7043 kalite 1 çift iade,US,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
8034,8632,320.099,042 belge 099 7043 kalite 1 çift iade,US,,21.0,,,,,,,,,,,,,,,,,,,,,,,,
8035,8633,120.010,063 6014 kalite 1 çift iade,US,,28.0,,,,,,,,,,,,,,,,,,,,,,,,
8036,8634,320.063,010 belge 063 6014 kalite 1 çift iade,US,,24.0,,,,,,,,,,,,,,,,,,,,,,,,
8037,8635,120.018,TAHSİLAT MAGAZA ARKADASI 3250 EURO,US,,3701.0,,,,,,,,,,,,,,,,,,,,,,,,
8038,8636,120.115,Korona Pay ile alındı.,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8039,8637,120.174,Korona Pay ile alındı.,US,,613.0,,,,,,,,,,,,,,,,,,,,,,,,
8040,8638,120.037,Miss Mamma dan alındı.,US,,70.0,,,,,,,,,,,,,,,,,,,,,,,,
8041,8639,120.197,Vico Venzi tekstilden alındı.,US,,552.0,,,,,,,,,,,,,,,,,,,,,,,,
8042,8640,120.115,1 Çuval parası karşılığı,US,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
8043,8641,120.169,T.T. Kargodan alındı.,US,,6000.0,,,,,,,,,,,,,,,,,,,,,,,,
8044,8642,120.096,TAHSİLAT MAGAZA SAYARA,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8045,8643,120.164,Korona Pay ile alındı.,US,,794.0,,,,,,,,,,,,,,,,,,,,,,,,
8046,8644,120.006,ANTIK INESS e fazla para iadesi,US,,252.0,,,,,,,,,,,,,,,,,,,,,,,,
8047,8645,120.039,Medya Otelden alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8048,8646,120.200,WU ile ödeme alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8049,8647,120.049,Sky Tourdan alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8648,320.012,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8649,320.051,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8650,320.135,Mağaza Tahsilatı,US,,900.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8651,320.026,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8652,320.070,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8654,320.020,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8655,320.043,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8656,320.056,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8657,320.108,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8658,320.100,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8659,320.114,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8660,320.063,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8661,320.088,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8662,320.104,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8663,320.127,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8664,320.132,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8665,320.036,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8666,320.096,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8667,320.122,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8668,320.143,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8669,320.071,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8670,320.044,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8671,320.115,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8678,320.047,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8679,320.015,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8680,320.067,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8681,320.085,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8682,320.033,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8683,320.107,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8684,320.059,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8685,320.005,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8686,320.061,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8687,320.076,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8688,320.097,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8690,320.066,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8691,320.041,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8692,320.120,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8693,320.074,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8694,320.130,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8695,320.106,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8696,320.010,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8697,320.046,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8698,320.102,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8699,320.062,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8700,320.054,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8701,320.092,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8702,320.078,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8703,320.131,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8704,320.028,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8050,8705,320.087,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8051,8653,120.126,İconic Shoestan alındı.,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
8054,8676,120.152,İADE 045-298 8 ÇİFT ,US,,240.0,,,,,,,,,,,,,,,,,,,,,,,,
8054,8677,120.152,İADE KARGO PARASI,US,,41.0,,,,,,,,,,,,,,,,,,,,,,,,
8055,8706,120.154,Rubil Kargodan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8056,8707,120.137,Pegas Kargodan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8057,8708,120.102,Medved Kargodan alındı.,US,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,
8058,8709,120.098,UPT ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8059,8710,TKNK- 002,170€ karşılığı -Mağaza Tahsilatı,US,,190.0,,,,,,,,,,,,,,,,,,,,,,,,
8059,8711,320.039,800€ karşılığı- Mağaza Tahsilatı,US,,910.0,,,,,,,,,,,,,,,,,,,,,,,,
8059,8712,YS- 003,200€ karşılığı- Mağaza Tahsilatı,US,,225.0,,,,,,,,,,,,,,,,,,,,,,,,
8059,8713,320.080,500€ karşılığı- Mağaza Tahsilatı,US,,568.0,,,,,,,,,,,,,,,,,,,,,,,,
8059,8714,320.049,440€ karşılığı- Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8059,8715,320.103,500€ karşılığı- Mağaza Tahsilatı,US,,568.0,,,,,,,,,,,,,,,,,,,,,,,,
8059,8716,320.129,440€ karşılığı- Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
8059,8717,320.119,200€ karşılığı- Mağaza Tahsilatı,US,,225.0,,,,,,,,,,,,,,,,,,,,,,,,
8060,8718,120.084,Korona Pay ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
8061,8719,120.184 ,1 adet Çuval ödemesi karşılığı,US,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
8062,8720,120.189,Grup kargodan alındı.,US,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
